ID,Status,City,State,Zip,Life.hours,Life.No.Call.No.Show,Life.Call.Email.to.miss.shift,Life.Absence,YTD.hours,No.Call.No.Show,Call.Email.to.miss.shift,Absence,MTD.hours,MTD.No.Call.No.Show,MTD.Call.Email.to.miss.shift,MTD.Absence,Date.entered,Start.date,Stop.date,Orientation.Date
1100,Active,Ardmore,PA,19003,138.5166666667,0,1,1,0,0,0,0,0,0,0,0,10-19-2012,10-19-2012,,09-01-2010
1101,Active,Philadelphia,PA,19115,1,3,0,3,1,3,0,3,0,0,0,0,12-22-2017,12-22-2017,,
1102,Active,Bensalem,PA,19020,121.25,0,0,0,71,0,0,0,5.25,0,0,0,07-07-2017,07-07-2017,,
1103,Active,Philadelphia,PA,19145,2,0,0,0,0,0,0,0,0,0,0,0,12-13-2017,12-14-2017,,
1104,Active,Philadelphia,PA,19103,124.6666666667,0,0,0,0,0,0,0,0,0,0,0,08-13-2014,08-15-2014,,08-06-2014
1105,Active,Philadelphia,PA,19128,2,0,0,0,2,0,0,0,0,0,0,0,12-27-2017,12-27-2017,,
1106,Active,Philadelphia,PA,19147,43.5,0,0,0,2,0,0,0,0,0,0,0,01-10-2015,01-10-2015,,
1107,Active,Philadelphia,PA,19104,0,0,0,0,0,0,0,0,0,0,0,0,11-22-2017,11-22-2017,,
1108,Active,Philadelphia,PA,19121,22.3333333333,0,0,0,2,0,0,0,0,0,0,0,07-10-2017,07-10-2017,,
1109,Active,Jenkintown,PA,19046,59,0,0,0,17.9166666667,0,0,0,2,0,0,0,04-21-2017,04-21-2017,,
1110,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,04-18-2018,04-18-2018,,
1111,Active,Philadelphia,PA,19128,2,0,0,0,0,0,0,0,0,0,0,0,11-21-2017,11-21-2017,,
1112,Active,Philadelphia,PA,19148,7.1666666667,0,0,0,7.1666666667,0,0,0,1.5,0,0,0,05-12-2017,05-12-2017,,
1113,Active,Philadelphia,PA,19136,83.0333333333,0,2,2,8.2,0,0,0,0,0,0,0,04-30-2015,04-30-2015,,
1114,Active,Philadelphia,,19103,148,0,0,0,0,0,0,0,0,0,0,0,10-15-2012,10-15-2012,,
1115,Active,Philadelphia,PA,19106,0,0,0,0,0,0,0,0,0,0,0,0,08-18-2016,08-18-2016,,
1116,Active,Philadelphia,PA,19134,17,0,0,0,0,0,0,0,0,0,0,0,12-11-2012,12-11-2012,,
1117,Active,Philadelphia,PA,19130,30.5,0,0,0,0,0,0,0,0,0,0,0,12-09-2015,12-09-2015,,
1118,Active,"Philadelphia, Pa",PA,19106,1.25,0,0,0,0,0,0,0,0,0,0,0,08-24-2017,08-24-2017,,
1119,Active,Philadelphia,,,16,0,0,0,0,0,0,0,0,0,0,0,08-01-2017,08-03-2017,,
1120,Active,Philadelphia,PA,19146,164.4166666667,0,0,0,58.5,0,0,0,5.5,0,0,0,01-16-2017,01-16-2017,,01-15-2016
1121,Active,Philadelphia,PA,19151,0,0,0,0,0,0,0,0,0,0,0,0,08-23-2017,08-23-2017,,
1122,Active,Philadelphia,PA,19146,31,0,0,0,0,0,0,0,0,0,0,0,02-06-2015,02-06-2015,,
1123,Active,Philadelphia,PA,19104,6.25,0,0,0,4.25,0,0,0,0,0,0,0,12-04-2017,12-05-2017,,
1124,Active,Philadelphia,PA,19123,0,0,0,0,0,0,0,0,0,0,0,0,05-29-2018,05-29-2018,,
1125,Active,Philadelphia,PA,19144,210.5,2,37,39,16.25,0,3,3,0,0,0,0,02-06-2015,02-06-2015,,
1126,Active,,PA,19145,4,0,0,0,0,0,0,0,0,0,0,0,07-18-2017,07-18-2017,,
1127,Active,Philadelphia,PA,19115,2.25,0,0,0,2.25,0,0,0,0,0,0,0,09-01-2016,09-01-2016,,
1128,Active,Havertown,PA,19083,28,0,0,0,4,0,0,0,0,0,0,0,06-11-2013,06-11-2013,,05-17-2013
1129,Active,Philadelphia,PA,19145,0,0,0,0,0,0,0,0,0,0,0,0,08-07-2017,08-07-2017,,
1130,Active,Philadelphia,PA,19131,0,0,0,0,0,0,0,0,0,0,0,0,01-26-2017,01-26-2017,,
1131,Active,Philadelphia,PA,19130,0,0,0,0,0,0,0,0,0,0,0,0,08-14-2017,08-14-2017,,
1132,Active,Philadelphia,PA,19148,57,0,0,0,11,0,0,0,2,0,0,0,12-19-2016,12-19-2016,,
1133,Active,Phila,PA,19104,0,0,0,0,0,0,0,0,0,0,0,0,02-09-2015,02-09-2015,,
1134,Active,Philadelphia,PA,19104,10,0,0,0,0,0,0,0,0,0,0,0,07-09-2017,07-09-2017,,
1135,Active,Philadelphia,PA,19128,8,0,0,0,0,0,0,0,0,0,0,0,08-01-2017,08-02-2017,,
1136,Active,Philadelphia,PA,19146,4,0,0,0,2,0,0,0,0,0,0,0,11-27-2017,11-27-2017,,
1137,Active,Philadelphia,PA,19106,0,0,0,0,0,0,0,0,0,0,0,0,07-12-2017,07-12-2017,,
1138,Active,Philadelphia,PA,19139,33.5,0,0,0,22.5,0,0,0,0,0,0,0,11-23-2017,11-24-2017,,
1139,Active,Philadelphia,PA,19147,64,0,0,0,0,0,0,0,0,0,0,0,04-12-2016,04-12-2016,,
1140,Active,Willow Grove,PA,19090,48,0,0,0,0,0,0,0,0,0,0,0,03-03-2016,03-03-2016,,02-28-2016
1141,Active,Philadelphia,PA,19141,1157.1666666667,0,0,0,154,0,0,0,2,0,0,0,12-30-2013,12-31-2013,,12-24-2013
1142,Active,Philadelphia,PA,19122,72.5,0,0,0,8,0,0,0,0,0,0,0,10-02-2017,10-02-2017,,
1143,Active,Philadelphia,,19123,586.8333333333,0,0,0,15.5,0,0,0,1.8333333333,0,0,0,04-19-2016,04-19-2016,,04-17-2016
1144,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,12-22-2014,12-22-2014,,
1145,Active,Cheltenham,PA,19012,198.75,0,0,0,3,0,0,0,0,0,0,0,04-22-2015,04-22-2015,,
1146,Active,Philadelphia,PA,19103,0,0,0,0,0,0,0,0,0,0,0,0,11-30-2017,11-30-2017,,
1147,Active,Philadelphia,PA,19128,39,0,0,0,12,0,0,0,0,0,0,0,02-15-2016,02-15-2016,,02-06-2016
1148,Active,Horsham,PA,19044,10,0,0,0,6,0,0,0,0,0,0,0,12-22-2017,12-23-2017,,06-20-2012
1149,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,12-06-2017,12-07-2017,,
