"","ID","Orientation.Date","Type","NOT.Attending","Present","orientation"
"2963",1762,"6/24/18","PAC Cat","","PRESENT","Primary"
"2710",1934,"4/29/18","GF Basic + GF WD","","PRESENT","Primary"
"2819",1846,"5/22/18","PAC Cat","","PRESENT","Primary"
"1571",1097,"10/1/17","NE","","PRESENT","Primary"
"1753",1285,"11/5/17","NE","","PRESENT","Primary"
"2232",1957,"2/6/18","PAC Cat","","PRESENT","Primary"
"650",1079,"4/18/17","PAC Cat","","PRESENT","Primary"
"1608",1242,"10/8/17","PAC Cat","","PRESENT","Primary"
"1964",1472,"12/12/17","PAC Cat","","PRESENT","Primary"
"1259",1022,"8/6/17","GF Basic","","PRESENT","Primary"
"1921",1076,"12/5/17","PAC Cat","","PRESENT","Primary"
"1510",1297,"9/22/17","NE","","PRESENT","Primary"
"1514",1018,"9/22/17","NE","","PRESENT","Primary"
"2380",1821,"2/25/18","GF Basic + GF WD","","PRESENT","Primary"
"1172",1183,"7/18/17","PAC Cat","","PRESENT","Primary"
"2179",2202,"1/23/18","PAC Dog","","PRESENT","Primary"
"2071",2202,"1/9/18","PAC Cat","","PRESENT","Secondary"
"342",1633,"2/26/17","PAC Dog","","PRESENT","Primary"
"896",1070,"6/4/17","GF Basic + GF WD","","PRESENT","Primary"
"2830",1975,"6/3/18","PAC Cat","","PRESENT","Primary"
"2606",2174,"04/08/18","NE","","PRESENT","Primary"
"2291",2125,"2/11/18","PAC Cat","","PRESENT","Primary"
"169",1530,"1/29/17","NE","","PRESENT","Primary"
"598",1668,"4/9/17","PAC Cat","","PRESENT","Primary"
"2567",2083,"04/03/18","PAC Cat","","PRESENT","Primary"
"2754",1791,"5/13/18","PAC Cat","","PRESENT","Primary"
"527",1367,"3/26/17","GF Basic","","PRESENT","Primary"
"1623",1181,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"2171",1852,"1/23/18","PAC Cat","","PRESENT","Primary"
"921",1384,"6/4/17","NE","","PRESENT","Primary"
"2817",1952,"5/22/18","PAC Cat","","PRESENT","Primary"
"1057",1102,"6/27/17","NE","","PRESENT","Primary"
"2705",2168,"4/29/18","GF Basic + GF WD","","PRESENT","Primary"
"1863",1608,"11/21/17","PAC Cat","","PRESENT","Primary"
"1488",1694,"9/17/17","NE","","PRESENT","Primary"
"2884",1775,"6/5/18","NE","","PRESENT","Primary"
"1769",1679,"11/7/17","PAC Cat","","PRESENT","Primary"
"1437",1456,"9/5/17","NE","","PRESENT","Primary"
